transaction id,date,product category,product name,units sold,unit price,total revenue,region,payment method
10001,2024-01-01,electronics,iphone 14 pro,2,999.99,1999.98,north america,credit card
10002,2024-01-02,home appliances,dyson v11 vacuum,1,499.99,499.99,europe,paypal
10003,2024-01-03,clothing,levi's 501 jeans,3,69.99,209.97,asia,debit card
10004,2024-01-04,books,the da vinci code,4,15.99,63.96,north america,credit card
10005,2024-01-05,beauty products,neutrogena skincare set,1,89.99,89.99,europe,paypal
10006,2024-01-06,sports,wilson evolution basketball,5,29.99,149.95,asia,credit card
10007,2024-01-07,electronics,macbook pro 16-inch,1,2499.99,2499.99,north america,credit card
10008,2024-01-08,home appliances,blueair classic 480i,2,599.99,1199.98,europe,paypal
10009,2024-01-09,clothing,nike air force 1,6,89.99,539.94,asia,debit card
10010,2024-01-10,books,dune by frank herbert,2,25.99,51.98,north america,credit card
10011,2024-01-11,beauty products,chanel no. 5 perfume,1,129.99,129.99,europe,paypal
10012,2024-01-12,sports,babolat pure drive tennis racket,3,199.99,599.97,asia,credit card
10013,2024-01-13,electronics,samsung galaxy tab s8,2,749.99,1499.98,north america,credit card
10014,2024-01-14,home appliances,keurig k-elite coffee maker,1,189.99,189.99,europe,paypal
10015,2024-01-15,clothing,north face down jacket,2,249.99,499.98,asia,debit card
10016,2024-01-16,books,"salt, fat, acid, heat by samin nosrat",3,35.99,107.97,north america,credit card
10017,2024-01-17,beauty products,dyson supersonic hair dryer,1,399.99,399.99,europe,paypal
10018,2024-01-18,sports,manduka pro yoga mat,4,119.99,479.96,asia,credit card
10019,2024-01-19,electronics,garmin forerunner 945,2,499.99,999.98,north america,credit card
10020,2024-01-20,home appliances,ninja professional blender,1,99.99,99.99,europe,paypal
10021,2024-01-21,clothing,zara summer dress,3,59.99,179.97,asia,debit card
10022,2024-01-22,books,gone girl by gillian flynn,2,22.99,45.98,north america,credit card
10023,2024-01-23,beauty products,olay regenerist face cream,1,49.99,49.99,europe,paypal
10024,2024-01-24,sports,adidas fifa world cup football,3,29.99,89.97,asia,credit card
10025,2024-01-25,electronics,bose quietcomfort 35 headphones,1,299.99,299.99,north america,credit card
10026,2024-01-26,home appliances,panasonic nn-sn966s microwave,1,179.99,179.99,europe,paypal
10027,2024-01-27,clothing,adidas ultraboost shoes,2,179.99,359.98,asia,debit card
10028,2024-01-28,books,pride and prejudice by jane austen,3,12.99,38.97,north america,credit card
10029,2024-01-29,beauty products,mac ruby woo lipstick,1,29.99,29.99,europe,paypal
10030,2024-01-30,sports,nike air zoom pegasus 37,2,129.99,259.98,asia,credit card
10031,2024-01-31,electronics,sony wh-1000xm4 headphones,2,349.99,699.98,north america,credit card
10032,2024-02-01,home appliances,instant pot duo,3,89.99,269.97,europe,paypal
10033,2024-02-02,clothing,under armour heatgear t-shirt,5,29.99,149.95,asia,debit card
10034,2024-02-03,books,1984 by george orwell,4,19.99,79.96,north america,credit card
10035,2024-02-04,beauty products,l'oreal revitalift serum,2,39.99,79.98,europe,paypal
10036,2024-02-05,sports,peloton bike,1,1895.0,1895.0,asia,credit card
10037,2024-02-06,electronics,apple watch series 8,3,399.99,1199.97,north america,credit card
10038,2024-02-07,home appliances,roomba i7+,2,799.99,1599.98,europe,paypal
10039,2024-02-08,clothing,columbia fleece jacket,4,59.99,239.96,asia,debit card
10040,2024-02-09,books,harry potter and the sorcerer's stone,3,24.99,74.97,north america,credit card
10041,2024-02-10,beauty products,estee lauder advanced night repair,1,105.0,105.0,europe,paypal
10042,2024-02-11,sports,fitbit charge 5,2,129.99,259.98,asia,credit card
10043,2024-02-12,electronics,gopro hero10 black,3,399.99,1199.97,north america,credit card
10044,2024-02-13,home appliances,nespresso vertuoplus,1,199.99,199.99,europe,paypal
10045,2024-02-14,clothing,patagonia better sweater,2,139.99,279.98,asia,debit card
10046,2024-02-15,books,becoming by michelle obama,4,32.5,130.0,north america,credit card
10047,2024-02-16,beauty products,clinique moisture surge,1,52.0,52.0,europe,paypal
10048,2024-02-17,sports,yeti rambler tumbler,6,39.99,239.94,asia,credit card
